HHNUM,PERCENT_FEMALE,PR_SEX,AVG_AGE_R,PR_AGE_R,HISPANIC,MODE_RACECAT_R,ALT_PNUM,PROP_WHITE,PROP_BLACK,PROP_OTHER,PROP_NARACE,EDUCCAT,PR_EDUCCAT,NCIMMIGRANT_ANY,NCIMMIGRANT_EVERY,NCHILDREN,NADULTS,DISABLED
110780,0.5,1,25.333333333333332,47.5,0.16666666666666666,1,6,0.8333333333333334,0.0,0.16666666666666666,0.0,3,3,1,0,4,2,1
110784,0.5,0,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
110786,0.6666666666666666,1,20.5,27.5,1.0,3,3,0.0,0.0,1.0,0.0,1,2,0,0,1,2,0
110790,0.5,1,15.75,27.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,1,1,0
110793,0.3333333333333333,1,19.0,27.5,0.0,1,3,1.0,0.0,0.0,0.0,1,2,0,0,1,2,0
110796,1.0,1,85.0,85,0.0,1,1,1.0,0.0,0.0,0.0,3,3,0,0,0,1,0
110797,1.0,1,47.5,47.5,1.0,1,1,1.0,0.0,0.0,0.0,3,3,1,1,0,1,0
110801,0.3333333333333333,1,26.666666666666668,47.5,0.3333333333333333,2,3,0.0,1.0,0.0,0.0,3,3,0,0,1,2,0
110807,1.0,1,27.5,27.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,1,1,0,1,0
110811,1.0,1,12.5,27.5,1.0,3,3,0.0,0.0,1.0,0.0,1,1,0,0,2,1,0
110817,0.5,0,55.0,62.5,1.0,1,2,1.0,0.0,0.0,0.0,2,3,0,0,0,2,0
110818,0.3333333333333333,1,34.833333333333336,47.5,0.0,3,3,0.0,0.0,1.0,0.0,2,2,1,0,1,2,0
110819,0.5,1,68.0,68,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
110824,0.3333333333333333,1,65.0,62.5,0.0,1,3,1.0,0.0,0.0,0.0,1,2,0,0,0,3,0
110827,0.6666666666666666,1,23.0,47.5,0.16666666666666666,2,6,0.0,0.8333333333333334,0.16666666666666666,0.0,1,1,0,0,3,3,0
110836,0.6666666666666666,1,23.5,47.5,0.0,2,6,0.0,1.0,0.0,0.0,1,3,0,0,4,2,0
110839,0.75,1,16.125,27.5,0.0,2,4,0.0,1.0,0.0,0.0,2,2,0,0,2,2,0
110840,1.0,1,68.0,68,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
110846,0.4,0,31.0,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,1,0,0,1,4,0
110850,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
110854,0.3333333333333333,1,37.666666666666664,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,0,3,0
110855,0.6666666666666666,1,19.5,27.5,0.0,1,6,1.0,0.0,0.0,0.0,1,2,0,0,4,2,0
110861,1.0,1,85.0,85,0.0,2,1,0.0,1.0,0.0,0.0,3,3,0,0,0,1,0
110864,0.6,0,28.8,47.5,0.0,1,5,1.0,0.0,0.0,0.0,1,2,0,0,2,3,0
110868,0.0,0,27.5,27.5,1.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0
110870,0.5,1,76.5,68,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
110875,0.0,0,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
110883,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
110884,0.5,0,37.5,27.5,1.0,1,2,1.0,0.0,0.0,0.0,2,2,1,1,0,2,0
110889,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
110890,0.6666666666666666,1,34.166666666666664,47.5,0.0,2,3,0.0,1.0,0.0,0.0,1,2,0,0,0,3,1
110893,0.3333333333333333,1,42.5,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,0,3,0
110894,0.5,1,85.0,85,0.0,1,2,1.0,0.0,0.0,0.0,2,2,0,0,0,2,0
110900,0.25,1,27.75,47.5,1.0,3,4,0.5,0.0,0.5,0.0,1,1,0,0,2,2,0
110906,0.0,0,19.0,19,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
110913,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
110916,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
110919,0.5,1,30.5,47.5,1.0,1,2,1.0,0.0,0.0,0.0,2,2,1,0,1,1,0
110924,0.5,1,27.5,27.5,0.0,1,2,1.0,0.0,0.0,0.0,1,1,0,0,0,2,0
110931,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
110944,0.6666666666666666,1,65.0,85,0.0,1,3,1.0,0.0,0.0,0.0,2,3,0,0,0,3,0
