,hhnum,adltfscat,binadltfscat,fincondition,region,rural,rrindicator,targetgroup,inchhavg_r,snapnowhh,povthresh_hh,elig_units1,percent_poverty,percent_female,pr_sex,avg_age_r,pr_age_r,hispanic,mode_racecat_r,alt_pnum,prop_white,prop_black,prop_other,prop_narace,educcat,pr_educcat,ncimmigrant_any,ncimmigrant_every,nchildren,nadults,disabled
3738,115664,1,0,3,2,0,20,3,10018.67,0,1940.25,0,516.3597474552248,0.25,0,15.75,27.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
3739,115667,1,0,1,2,1,21,3,9590.67,0,1540.0,0,622.7707792207792,0.6666666666666666,1,33.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,1,2,0
3740,115676,1,0,3,2,0,20,4,1760.0,1,1281.16666666667,0,137.3747886041365,1.0,1,19.0,19.0,0.0,2,1,0.0,1.0,0.0,0.0,3,3,0,0,0,1,0
3741,115679,2,0,3,3,0,30,4,318.0,1,1318.75,1,24.113744075829384,0.5,1,14.75,27.5,1.0,3,2,0.0,0.0,1.0,0.0,3,3,0,0,1,1,0
3742,115683,3,1,3,4,0,40,3,3500.0,0,1540.0,0,227.27272727272728,0.3333333333333333,1,19.33333333333333,27.5,1.0,1,3,1.0,0.0,0.0,0.0,1,1,1,0,1,2,0
3743,115684,1,0,2,3,0,30,1,700.0,0,1940.25,1,36.077825022548645,0.25,1,29.5,47.5,0.0,1,4,1.0,0.0,0.0,0.0,1,1,0,0,2,2,0
3744,115685,4,1,5,3,1,31,4,701.0,1,995.416666666667,1,70.42277103390538,1.0,1,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3745,115695,1,0,3,3,0,30,3,6580.0,0,995.416666666667,0,661.0297195479278,1.0,1,27.5,27.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3746,115696,4,1,5,4,0,40,1,2139.41123358757,0,2379.83333333333,1,89.89752364679208,0.5,1,38.875,27.5,0.0,3,4,0.0,0.0,1.0,0.0,1,1,0,0,0,4,0
3747,115698,2,0,3,4,1,41,2,2200.0,0,1281.16666666667,1,171.71848575517063,0.5,0,47.5,47.5,0.0,1,2,0.5,0.0,0.5,0.0,2,2,0,0,0,2,0
3748,115700,2,0,3,1,0,10,3,8666.67,0,1540.0,0,562.7707792207792,0.6666666666666666,1,37.16666666666666,47.5,0.0,2,3,0.0,1.0,0.0,0.0,1,1,0,0,1,2,0
3749,115704,1,0,4,2,1,21,3,3120.0,0,1540.0,0,202.59740259740258,1.0,1,30.5,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,1,2,0
3750,115707,4,1,4,4,0,40,1,700.0,0,995.416666666667,1,70.32231059020508,1.0,1,47.5,47.5,0.0,3,1,0.0,0.0,1.0,0.0,1,1,0,0,0,1,0
3751,115710,3,1,4,4,0,40,4,800.0,1,1318.75,1,60.66350710900474,0.5,1,32.0,47.5,1.0,1,2,1.0,0.0,0.0,0.0,3,3,0,0,1,1,0
3752,115711,2,0,2,3,0,30,4,1300.0,1,1940.25,1,67.00167504187606,0.5,1,17.375,27.5,1.0,1,4,1.0,0.0,0.0,0.0,3,3,1,0,2,2,0
3753,115718,3,1,4,3,1,31,2,1949.992,0,2005.75,1,97.22009223482488,0.75,1,34.75,47.5,0.0,1,4,0.5,0.0,0.5,0.0,2,2,0,0,1,3,0
3754,115721,1,0,2,2,1,21,1,1016.0,0,1281.16666666667,0,79.30271887602426,0.5,1,47.5,47.5,0.0,1,2,1.0,0.0,0.0,0.0,1,2,0,0,0,2,0
3755,115722,4,1,3,1,0,10,3,4796.28,0,2005.75,0,239.1265112800698,0.5,1,31.625,47.5,0.0,1,4,1.0,0.0,0.0,0.0,2,2,0,0,1,3,0
3756,115726,1,0,2,2,0,20,3,7840.0,0,1281.16666666667,0,611.942240145699,0.5,0,47.5,47.5,0.0,3,2,0.0,0.0,1.0,0.0,1,1,1,0,0,2,0
3757,115730,1,0,1,3,1,31,2,1079.0,0,995.416666666667,0,108.39681875261613,0.0,0,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
3758,115735,1,0,3,3,1,31,3,3180.67,0,1496.58333333333,0,212.52875995322725,0.3333333333333333,1,40.833333333333336,47.5,0.0,1,3,1.0,0.0,0.0,0.0,1,1,0,0,0,3,0
3759,115738,2,0,2,2,1,21,3,2484.2,0,995.416666666667,1,249.56383424026777,1.0,1,47.5,47.5,0.0,1,1,1.0,0.0,0.0,0.0,2,2,0,0,0,1,0
3760,115751,3,1,5,4,0,40,4,2870.0,1,2340.58333333333,1,122.6190052337382,0.6,0,28.0,47.5,1.0,1,5,1.0,0.0,0.0,0.0,3,3,0,0,2,3,0
3761,115752,1,0,2,1,0,10,3,13528.2,0,2005.75,0,674.4708961735012,0.75,1,34.0,47.5,0.0,2,4,0.0,1.0,0.0,0.0,1,1,1,0,1,3,0
3762,115753,1,0,2,2,1,21,3,7000.0,0,995.416666666667,0,703.2231059020509,0.0,0,62.5,62.5,0.0,1,1,1.0,0.0,0.0,0.0,1,1,0,0,0,1,0
